id,Watson Score,Watson Analysis,"Google Score,Magnitude",google Magnitude,LabeldetGoogle,label
180,0.935039,positive,0.1,1,neutral,neutral
409,0,neutral,0,0.2,neutral,neutral
485,-0.844277,negative,0,1.9,neutral,neutral
611,-0.68623,negative,-0.3,0.7,negative,negative
644,0,neutral,0,0,neutral,neutral
927,0,neutral,-0.2,1.1,neutral,neutral
1671,0,neutral,0,0,neutral,neutral
1725,0,neutral,-0.3,0.3,negative,neutral
2091,0.814866,positive,-0.5,0.5,negative,neutral
2685,0,neutral,0,0.5,neutral,neutral
2987,0.963601,positive,0.5,0.5,positive,positive
3399,-0.727669,negative,0.1,0.2,neutral,neutral
3591,0.814866,positive,-0.2,0.4,neutral,neutral
4163,0,neutral,-0.8,0.8,negative,neutral
4223,0,neutral,0.2,0.5,neutral,neutral
4694,0,neutral,0,0,neutral,neutral
4758,0,neutral,0.1,0.1,neutral,neutral
4887,0.778057,positive,0.6,1.2,positive,positive
5294,0.648853,positive,0.1,0.1,neutral,positive
5373,0,neutral,-0.1,0.3,neutral,neutral
5491,0,neutral,-0.1,0.3,neutral,neutral
5711,0,neutral,-0.3,0.9,negative,neutral
5713,0,neutral,-0.3,0.7,negative,neutral
5721,0.761213,positive,0.1,1.3,neutral,neutral
5784,-0.827494,negative,-0.6,1.3,negative,neutral
6272,-0.834547,negative,-0.3,1.9,negative,neutral
6447,-0.793179,negative,-0.2,0.2,neutral,neutral
6555,0,neutral,-0.4,0.4,negative,neutral
7278,,NA,0.3,0.3,positive,positive
7380,0,neutral,0,0,neutral,neutral
7461,0.959836,positive,0.4,0.9,positive,positive
7577,0,neutral,-0.1,0.3,neutral,neutral
7665,,NA,0.1,0.1,neutral,positive
8098,-0.890807,negative,-0.2,0.9,neutral,neutral
8202,-0.890807,negative,-0.2,0.9,neutral,neutral
8502,0,neutral,-0.3,0.3,negative,neutral
8640,0,neutral,0.3,0.3,positive,neutral
8813,0,neutral,0,0,neutral,neutral
8980,0,neutral,0,0,neutral,neutral
9485,-0.847053,negative,-0.5,1,negative,neutral
9798,0,neutral,-0.7,0.7,negative,neutral
9989,0,neutral,0.3,0.3,positive,neutral
10261,0,neutral,-0.1,0.1,neutral,neutral
10314,-0.532769,negative,-0.1,0.3,neutral,neutral
10446,-0.65416,negative,0,0.6,neutral,neutral
10696,0,neutral,-0.4,0.8,negative,neutral
10856,0,neutral,0,0,neutral,negative
11149,-0.912643,negative,-0.5,1.1,negative,negative
11480,0,neutral,-0.1,0.1,neutral,neutral
11526,-0.692365,negative,-0.7,1.4,negative,neutral
11718,-0.707173,negative,-0.7,0.7,negative,neutral
11834,-0.770673,negative,0,1.3,neutral,neutral
11881,,NA,0.3,0.3,positive,neutral
11978,,negative,0.4,0.4,positive,negative
12310,,positive,0.9,1.8,positive,neutral
12357,,neutral,-0.1,0.5,neutral,negative
12834,,neutral,0.1,0.1,neutral,neutral
12867,,neutral,0,0,neutral,neutral
12989,,positive,0.4,0.4,positive,neutral
13391,,negative,-0.5,1.5,negative,neutral
13658,,negative,0.1,1.4,neutral,neutral
13977,,neutral,0.1,0.1,neutral,neutral
13997,,neutral,0,0,neutral,neutral
14206,,neutral,-0.1,0.1,neutral,neutral
14237,,negative,-0.1,0.6,neutral,neutral
14371,,neutral,-0.1,0.1,neutral,neutral
14387,,neutral,-0.5,0.5,negative,neutral
14571,,positive,0.2,1.4,neutral,positive
14704,,neutral,0.2,0.4,neutral,neutral
14849,,neutral,-0.5,0.5,negative,neutral
14921,,positive,0.9,0.9,positive,neutral
15073,,neutral,-0.4,0.4,negative,neutral
